phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
GI_515	124	4521	0.9969427290144933	0.0013297897198234429	3249.174	12.449956742039975	-6355.813	6380.713	255239.28125989714	5.406947513002148	False	Both	Heartburn	Gastrointestinal
MS_713.38	543	3912	0.9759753624299927	0.010561145546172629	323.442	9.740455545959403	-624.195	643.676	16991.279926883963	4.230226094834094	False	Both	Pain in ankle and joints of foot	Muscloskeletal
EM_252.5	66	4675	0.9980068498126576	0.0008664779254241035	5073.351	12.673464499978783	-9930.912	9956.259	319165.32253417413	5.50401569893754	False	Both	Disorders of carbohydrate metabolism	Endocrine/Metab
EM_239.21	145	4584	0.997747855583415	0.0009791969534009787	4966.956	14.019970500315399	-9721.036	9749.076	1226862.3096418069	6.08879582473335	False	Both	Pure hyperglyceridemia	Endocrine/Metab
GI_510	378	4203	0.9941559635100818	0.0025454779986064094	1781.806	13.050802584712146	-3479.225	3505.327	465469.84077253274	5.667891546949181	False	Both	Diseases of esophagus	Gastrointestinal
GU_594.6	220	4371	0.9951927472568333	0.002092797683213877	2007.523	12.095392511667752	-3922.577	3946.767	179045.01106348768	5.252962224271219	False	Both	Urinary urgency	Genitourinary
NS_325	384	4250	0.9962928642449214	0.0016129802211000675	3011.18	13.99061140218421	-5887.814	5915.795	1191366.3529652515	6.076045330421319	False	Both	Abnormality of gait and mobility	Neurological
MB_287	137	4604	0.9979223805346745	0.0009032372862095908	5277.879	13.743137286504044	-10300.0	10400.0	930183.6200030437	5.968568687567537	False	Both	Psychotic disorder	Mental
NS_331.64	240	4504	0.998042038685943	0.0008511653410662127	5337.221	13.097236403832593	-10400.0	10500.0	487593.0406535169	5.688057498366885	False	Both	Chronic migraine without aura	Neurological
DE_664.42	50	4746	0.9983357996490775	0.0007233551001800647	6344.884	13.233951920845419	-12400.0	12400.0	559026.3679297398	5.7474322929961055	False	Both	Psoriatic arthropathy	Dermatological
GI_524	467	4157	0.9962814933260036	0.001617936951895537	2856.698	13.313568054915041	-5585.712	5612.339	605353.6156326592	5.782009140693012	False	Both	Functional intestinal disorder	Gastrointestinal
RE_474	136	4596	0.9976750068693451	0.0010109073193025789	4775.548	13.915713261971622	-9345.987	9373.818	1105394.9633562162	6.0435174814221755	False	Both	Chronic obstructive pulmonary disease [COPD]	Respiratory
CV_414	115	4653	0.9979595862077525	0.0008870457290089398	5604.112	14.331295889329532	-11000.0	11000.0	1674953.3788466093	6.224002723258572	False	Both	Cardiomyopathy	Cardiovascular
CM_771.1	53	4663	0.9978116861617227	0.0009514140009355258	4573.693	12.544031332163197	-8951.73	8976.818	280416.5154913433	5.447803588379974	False	Both	Congenital malformation of the skin	Congenital
NS_329.41	347	4088	0.9970312592848026	0.0012912253171505756	3669.583	13.653687013153165	-7178.597	7205.905	850591.2825442529	5.929720927446512	False	Both	Attention and concentration deficit	Neurological
GU_581.31	87	4643	0.9978125683962615	0.0009510300112229336	4875.93	13.367568536154467	-9543.279	9570.015	638941.7276430525	5.805461251715415	False	Both	Hydronephrosis	Genitourinary
GU_627.1	83	3060	1.1406567264395535e-26	25.94284503414748	17.19	183.75600005140544	150.063	217.449	6.371135459994998e+79	79.80421683893904	True	Female	Postmenopausal bleeding	Genitourinary
CA_142	647	3985	0.9968687682910484	0.001362010152023612	2962.086	11.62448994921159	-5793.957	5817.206	111802.58367289875	5.048451839882405	False	Both	Lump or mass in breast or nonspecific abnormal breast exam	Neoplasms
SO_392	298	4200	0.9995674579380778	0.0001878912690524001	32600.0	17.650518805836068	-63800.0	63800.0	46293809.491781354	7.665522920104178	False	Both	Otalgia and effusion of ear	Sense organs
MS_718.1	738	3823	0.9905336296249799	0.004130775135404428	1059.101	12.565826929349384	-2063.234	2088.366	286595.4531193805	5.457269295967721	False	Both	Radiculopathy	Muscloskeletal
SO_360.1	58	4654	0.9977868119156159	0.0009622405753558155	4528.58	12.56148239060534	-8863.293	8888.416	285353.02890373796	5.455382486764767	False	Both	Hordeolum	Sense organs
NS_351	850	3556	0.9983317281273781	0.0007251262908088284	7840.771	16.39403507325507	-15400.0	15400.0	13177680.342484426	7.119838968443049	False	Both	Disturbances of skin sensation	Neurological
MS_741.6	291	4259	0.9761172049525182	0.01049803232503777	271.204	8.119067813076597	-523.431	539.669	3357.8891053556695	3.526066349417469	False	Both	Sprains and strains of ankle and foot	Muscloskeletal
DE_676	251	4239	0.9868602330463349	0.005744351195545218	623.462	10.26779380438039	-1211.695	1232.231	28790.30001565148	4.4592461905628005	False	Both	Hypertrophic conditions of skin	Dermatological
MS_726.1	232	4510	0.9977736084988594	0.0009679875033676476	4837.88	13.499482365643024	-9468.571	9495.57	729038.8965791222	5.8627506999490215	False	Both	Osteoporosis	Muscloskeletal
PP_909	104	3055	0.0010489066366069452	2.979263166726289	14.632	-47.9495480398365	-76.627	-19.272	1.4989111028191773e-21	-20.824224123455878	True	Female	Diabetes mellitus or abnormal glucose in pregnancy, childbirth, and the puerperium	Pregnancy
NS_333.11	1093	3517	0.9951670656122107	0.0021040051005605195	2545.899	15.421075724642732	-4974.449	5005.291	4980673.71826445	6.697288092224529	False	Both	Obstructive sleep apnea	Neurological
MB_288	3056	1407	0.7867176620723917	0.1041810996662892	24.372	6.59458599029122	-41.175	54.364	731.1261307061804	2.863992306019968	False	Both	Anxiety and anxiety disorders	Mental
GU_619	502	2468	0.00004983426935986589	4.302471904721282	6.62	-26.852279406646513	-39.827	-13.878	2.178729065428561e-12	-11.661796772830906	True	Female	Noninflammatory disorders of ovary, fallopian tube, and broad ligament	Genitourinary
