phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
NS_348.2	99	5896	0.0024396341771951973	2.6126752911762354	0.209	0.6338756612656862	0.224	1.044	1.884901681653514	0.27528870190046234	True	Both	Myelopathies	Neurological
EM_200.2	355	5608	0.014139104774360886	1.8495780872762586	0.118	0.288976414212501	0.058	0.52	1.3350602397100533	0.12550086209267758	True	Both	Goiter	Endocrine/Metab
SS_832	237	5551	0.000038586418222048084	4.413565532871837	0.136	0.5595774576661793	0.293	0.826	1.749932923314366	0.24302140206187214	True	Both	Other abnormal findings in urine	Symptoms
NS_351	1091	4414	1.0973330021254113e-26	25.959661559262475	0.072	0.7707691481776883	0.629	0.912	2.1614280730739592	0.3347407878748399	True	Both	Disturbances of skin sensation	Neurological
SO_390.4	217	5613	1.3353655129852956e-7	6.874399844003079	0.142	0.7472185846729601	0.47	1.025	2.1111199415753616	0.3245129080990243	True	Both	Impacted cerumen	Sense organs
EM_214	61	3353	0.014586009122500241	1.836063519152955	0.262	0.6402736326324592	0.126	1.154	1.8969998893661704	0.27806730556042686	True	Female	Disorders of ovarian function	Endocrine/Metab
SO_387.1	147	5834	0.00003999243645971006	4.398022136532289	0.174	0.7128173377832662	0.373	1.053	2.039729778949864	0.3095726364042388	True	Both	Hypermetropia	Sense organs
GI_511	1991	3578	6.856991881673726e-32	31.163866364716686	0.063	0.7373959012968202	0.614	0.86	2.0904845919896093	0.32024697091128396	True	Both	Gastro-esophageal reflux disease [GERD]	Gastrointestinal
CV_402	280	5452	6.72452631789732e-10	9.172338302369223	0.125	0.7734069873051334	0.528	1.019	2.167137099051948	0.33588638685203775	True	Both	Elevated blood pressure reading without diagnosis of hypertension	Cardiovascular
GI_554.1	250	5747	0.8563067667074464	0.06737062408274502	0.14	0.02542660322234272	-0.25	0.301	1.0257526165707378	0.01104263347300687	True	Both	Pancreatitis	Gastrointestinal
SS_807.21	225	5658	1.2971171943761181e-6	5.887020783691151	0.139	0.6717135457000492	0.4	0.944	1.957588866286832	0.29172148631719913	True	Both	Muscle weakness (generalized)	Symptoms
CA_139.61	137	5810	0.004794886446881238	2.3192216733894226	0.182	0.5127941704001711	0.156	0.869	1.6699508091569042	0.2227036785569501	True	Both	Hemangioma	Neoplasms
ID_054.3	521	5458	5.3290529869569975e-9	8.273349961532661	0.094	0.5513004583316334	0.366	0.736	1.7355085074625556	0.23942674692416202	True	Both	Hepatitis C	Infections
