phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
GE_971.1	112	35750	0.00012031041975150381	3.919696757991693	0.199	0.7646404845820441	0.375	1.154	2.1482219169079864	0.3320791430938103	True	Both	Hereditary hypo-coagulability	Genetic
PP_909.1	347	22238	0.08673428834681109	1.061809180540212	0.128	0.21876271204238742	-0.032	0.469	1.2445359282590123	0.09500743868619892	True	Female	Gestational diabetes mellitus*	Pregnancy
GI_528	5733	26849	4.062118899467781e-216	215.3912473688123	0.033	1.0321390382808857	0.968	1.097	2.8070638344353243	0.44825228888231783	True	Both	Nausea and vomiting	Gastrointestinal
BI_179.1	138	35709	3.169138793493569e-6	5.4990587403210816	0.178	0.8282404660171231	0.48	1.177	2.28928711593727	0.3597002640802143	True	Both	Hypogammaglobulinemia NOS	Blood/Immune
SO_382	109	35712	1.8624414504301895e-13	12.729917371280216	0.192	1.4137384119899363	1.037	1.79	4.111296430535812	0.6139787911818954	True	Both	Other disorders of binocular movement	Sense organs
EM_247.7	169	35650	7.734382689837124e-7	6.1115743432569065	0.161	0.797558182007079	0.481	1.114	2.2201131920784056	0.34637511744246374	True	Both	Disorders of iron metabolism	Endocrine/Metab
SO_367.3	206	35531	3.31404549179713e-10	9.479641534329215	0.145	0.9092675182658413	0.626	1.193	2.4825034788008127	0.3948898657567191	True	Both	Keratoconjunctivitis	Sense organs
GI_526.12	225	35565	0.00003590367514271351	4.444861094248733	0.145	0.5980554731978943	0.314	0.882	1.8185790841983926	0.2597321918818836	True	Both	Intestinal infection due to C. difficile	Gastrointestinal
GI_502	2169	32633	7.576636877232179e-94	93.12052352652823	0.047	0.9607209612633388	0.869	1.052	2.6135800843357164	0.4172358121254558	True	Both	Diseases of teeth and supporting structures	Gastrointestinal
SS_840.61	1114	34032	4.35488537084128e-40	39.36102327199186	0.064	0.8531066934945327	0.727	0.979	2.346926719884424	0.37049952945940434	True	Both	Allergy to other anti-infective agents	Symptoms
CV_416.52	384	35099	1.7758412569403594e-7	6.750595858555217	0.112	0.5860870999896869	0.366	0.806	1.7969433813542814	0.2545343934402004	True	Both	Ventricular premature depolarization*	Cardiovascular
CV_401	8963	25214	2.956354362388911e-118	117.52924351059985	0.032	0.7513262631188281	0.688	0.815	2.119809578354497	0.3262968501814977	True	Both	Hypertension	Cardiovascular
MS_734.6	605	34747	8.2374085851216e-46	45.08420939196668	0.083	1.183806076251616	1.02	1.347	3.2667842009755033	0.514120446559617	True	Both	Temporomandibular joint disorders	Muscloskeletal
CA_101.4	225	35572	0.48107144771207677	0.3177904183397253	0.163	0.1145541087782412	-0.204	0.433	1.1213733155624936	0.049750217321734985	True	Both	Malignant neoplasm of the lower GI tract	Neoplasms
NS_346	494	35054	1.4524205208649044e-41	40.837907623684075	0.091	1.2346036247606114	1.055	1.414	3.437015902667737	0.5361815415712865	True	Both	Brain damage and brain death	Neurological
GI_546	1096	33851	1.0209580692992999e-19	18.99099209400112	0.067	0.6124429784391099	0.48	0.745	1.8449330294620037	0.26598060601649764	True	Both	Other disorders of liver	Gastrointestinal
RE_466.2	201	35570	2.8110671671027048e-12	11.551128777319072	0.145	1.0103272845023483	0.727	1.294	2.746499754742533	0.4387795645756667	True	Both	Chronic tonsillitis and adenoiditis	Respiratory
SO_374.7	287	35516	5.007713754656757e-6	5.300360503744501	0.131	0.5992977522977389	0.342	0.857	1.8208396708351506	0.26027170683992984	True	Both	Non-degenerative maculopathy	Sense organs
