phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
GU_625	92	600	0.019152099875990126	1.7177836021361665	0.225	0.5267576011638122	0.086	0.967	1.6934326133992725	0.22876791948603759	True	Female	Pain and other symptoms associated with female genital organs	Genitourinary
RE_462.2	116	1219	0.000012233429045783806	4.912451792601648	0.203	0.8870889899208863	0.49	1.285	2.4280512719463303	0.3852578532797703	True	Both	Chronic sinusitis	Respiratory
DE_660.1	175	1161	0.000039666627475114635	4.401574722419985	0.169	0.6951418619130573	0.364	1.027	2.003993344106693	0.30189627476879305	True	Both	Fungal infection of the skin	Dermatological
MS_719	246	1044	0.004279138109630862	2.3686436963899546	0.145	0.41441182140068344	0.13	0.699	1.513480282130948	0.17997676726979275	True	Both	Disorders of muscle	Muscloskeletal
GU_586	110	1253	0.976010091299022	0.010545691992300127	0.209	-0.006271213017537399	-0.415	0.402	0.9937484099973546	-0.0027235532083563566	True	Both	Other disorders of the kidney and ureters	Genitourinary
MS_718	889	432	3.043429207932533e-7	6.516636795754847	0.13	0.6659646541195322	0.411	0.921	1.9463671871498047	0.2892247744267205	True	Both	Back pain	Muscloskeletal
BI_181	403	929	2.211708730719761e-6	5.655272067679378	0.122	0.578377445175651	0.339	0.818	1.7831428352442815	0.2511861328970858	True	Both	Autoimmune disease	Blood/Immune
MS_711	64	1342	0.06063598669405836	1.2172695510155773	0.261	0.48927595138227126	-0.022	1.0	1.6311347714173288	0.21248984581328415	True	Both	Disorder of patella	Muscloskeletal
DE_683	87	1296	0.0639637951064915	1.1940657765563356	0.227	0.4205660988414176	-0.024	0.866	1.5228233802078868	0.18264953600240524	True	Both	Nail disorders	Dermatological
SS_800	636	634	0.0052441966201673485	2.2803210337148077	0.119	0.3316295131587835	0.099	0.564	1.3932365770640291	0.14402486760112151	True	Both	Chest pain	Symptoms
NS_331.1	63	1327	0.01771724933852367	1.7516037028681852	0.261	0.6179580227359656	0.107	1.129	1.8551360259721372	0.2683757593220741	True	Both	Tension headache	Neurological
