phecode	cases	controls	p_value	neg_log_p_value	standard_error	beta	conf_int_1	conf_int_2	odds_ratio	log10_odds_ratio	converged	phecode_sex_restriction	phecode_string	phecode_category
DE_668	76	247	0.02651997669605031	1.576426861895515	0.276	0.6133323707647774	0.071	1.155	1.8465746286444238	0.26636686419578215	True	Both	Dermatitis [eczema]	Dermatological
MS_718.5	51	291	0.13691130146467073	0.8635607011635704	0.311	0.46240493241073927	-0.147	1.072	1.5878881604407424	0.2008199105508302	True	Both	Sciatica	Muscloskeletal
MS_724.1	66	250	0.10269748758845078	0.9884401809384448	0.289	0.4719362732269107	-0.095	1.039	1.6030952203859885	0.20495931927243266	True	Both	Myalgia	Muscloskeletal
GI_528	137	172	0.07194500323752613	1.1429993635303828	0.233	0.418902094683296	-0.037	0.875	1.5202915028825463	0.181926868178669	True	Both	Nausea and vomiting	Gastrointestinal
NS_336	63	274	0.1042508072103946	0.9819205736140332	0.295	0.47981509395368876	-0.099	1.059	1.615775607889927	0.20838104763797735	True	Both	Mononeuropathies	Neurological
MB_290	228	116	7.759259067929117e-8	7.1101797475656365	0.25	1.341492792314298	0.852	1.831	3.824748801510747	0.5826029172150846	True	Both	Reaction to severe stress, and adjustment disorders	Mental
NS_333.11	68	288	4.968680928823e-6	5.303758891219989	0.32	1.4601013547529809	0.833	2.087	4.3063959799273945	0.6341139613886819	True	Both	Obstructive sleep apnea	Neurological
GI_528.1	118	191	0.29021732212632656	0.5372766695021245	0.238	0.25122282706410637	-0.214	0.717	1.2855965181151676	0.10910468752207633	True	Both	Nausea	Gastrointestinal
ID_089.3	114	207	0.05054556545351551	1.2963169406377388	0.242	0.4728086271342495	-0.001	0.947	1.6044942969215448	0.20533817776065666	True	Both	Fungal infections	Infections
MB_280.41	81	256	0.017103202225450885	1.7669225692193034	0.263	0.6278814167526464	0.112	1.144	1.8736369157008688	0.27268543458527034	True	Both	Sedative, hypnotic or anxiolytic-related abuse or dependance	Mental
MB_282.2	66	270	0.25562831605701597	0.592391040865022	0.28	0.31829593919203325	-0.23	0.867	1.374783053217736	0.13823417000331303	True	Both	Personal history of nicotine dependence	Mental
MB_280.2	208	127	0.005488515901737245	2.260545073185554	0.236	0.6540453235294456	0.192	1.116	1.923305506127789	0.2840482749234653	True	Both	Opioid use disorders	Mental
DE_681	58	267	0.26056918719428546	0.5840769417419154	0.295	0.3320099153146336	-0.246	0.91	1.3937666680790437	0.14419007415831134	True	Both	Localized swelling, mass and lump of skin and subcutaneous tissue	Dermatological
EM_247	88	239	0.15893052651047346	0.7987926778602409	0.257	0.36204562221167386	-0.142	0.866	1.4362644660271529	0.15723441592375934	True	Both	Disorders of mineral metabolism and mineral deficiencies	Endocrine/Metab
